,date,category,fundsLost
0,2011-06-13,CeFi,8750000
1,2011-06-21,CeFi,68300
2,2011-07-01,CeFi,18100
3,2011-07-26,CeFi,236000
4,2011-08-08,CeFi,619000
5,2011-09-01,CeFi,32800
6,2011-10-05,CeFi,53100
7,2011-10-28,CeFi,8020
8,2012-05-11,CeFi,87000
9,2012-07-04,CeFi,12000
10,2012-07-13,CeFi,303000
11,2012-09-05,CeFi,251000
12,2012-09-19,Other,3360000000
13,2013-03-28,CeFi,370000
14,2013-04-01,CeFi,169000
15,2013-04-26,CeFi,202000
16,2013-05-10,CeFi,342000
17,2013-06-01,CeFi,167000
18,2013-07-01,CeFi,545000
19,2013-10-23,CeFi,809000
20,2013-10-26,CeFi,4000000
21,2013-11-11,CeFi,161000
22,2013-11-29,CeFi,6420000
23,2014-02-24,CeFi,473000000
24,2014-03-02,CeFi,614298
25,2014-03-04,CeFi,65600
26,2014-03-15,CeFi,659000
27,2014-03-16,CeFi,108000
28,2014-07-13,CeFi,2000000
29,2014-07-29,CeFi,9890000
30,2014-08-15,CeFi,1910000
31,2014-10-19,CeFi,1500000
32,2015-01-04,CeFi,5263614
33,2015-01-27,CeFi,4440
34,2015-01-28,CeFi,253000
35,2015-02-09,CeFi,387000000
36,2015-02-10,CeFi,460000
37,2015-02-14,CeFi,1750000
38,2015-02-15,CeFi,1790000
39,2015-02-18,CeFi,721000
40,2015-05-22,CeFi,332000
41,2016-04-01,CeFi,269000
42,2016-05-10,CeFi,2140000
43,2016-06-17,Stablecoin,50000000
44,2016-08-02,CeFi,360000000
45,2016-10-15,CeFi,1500000
46,2017-04-22,CeFi,4980000
47,2017-06-03,CeFi,1040000
48,2017-07-01,Other,12200000
49,2017-07-19,Other,34000000
50,2017-07-26,CeFi,181000000
51,2017-09-10,CeFi,147000000
52,2017-09-21,CeFi,1930000
53,2017-10-02,CeFi,3000000
54,2017-11-08,Other,155000000
55,2017-11-19,Stablecoin,30950010
56,2017-12-06,CeFi,64000000
57,2017-12-19,CeFi,10000000
58,2018-01-15,"Borrowing and Lending,CeFi",2000000000
59,2018-01-26,CeFi,534000000
60,2018-02-10,CeFi,146000000
61,2018-02-19,CeFi,50000000
62,2018-04-12,CeFi,3200000
63,2018-04-21,CeFi,230000000
64,2018-05-21,CeFi,1580000
65,2018-06-10,CeFi,40000000
66,2018-06-19,CeFi,30000000
67,2018-07-09,Exchange (DEX),23500000
68,2018-09-14,CeFi,59000000
69,2018-10-20,CeFi,9000000
70,2018-10-28,CeFi,5880000
71,2018-12-27,Other,949000
72,2019-01-26,CeFi,27000
73,2019-02-04,CeFi,147000000
74,2019-02-20,CeFi,26000000
75,2019-03-24,CeFi,6030000
76,2019-03-25,CeFi,123000
77,2019-03-26,CeFi,45000000
78,2019-03-29,CeFi,19200000
79,2019-05-02,CeFi,2170000
80,2019-05-07,CeFi,41700000
81,2019-05-22,CeFi,100000
82,2019-06-02,CeFi,10500000
83,2019-06-03,CeFi,0
84,2019-06-11,CeFi,160000000
85,2019-06-17,CeFi,570000
86,2019-06-26,CeFi,5000000
87,2019-07-04,CeFi,2000000
88,2019-07-08,CeFi,27100000
89,2019-07-12,CeFi,32000000
90,2019-08-17,CeFi,1800000
91,2019-11-08,CeFi,500000
92,2019-11-27,CeFi,51200000
93,2019-12-16,CeFi,2900000000
94,2020-01-19,Other,17700000
95,2020-02-05,CeFi,303000
96,2020-02-11,Other,42000
97,2020-04-19,Borrowing and Lending,25236849
98,2020-05-14,CeFi,1000000000
99,2020-06-18,Exchange (DEX),135229
100,2020-06-28,Exchange (DEX),523613
101,2020-07-11,CeFi,3090000
102,2020-07-31,CeFi,1400000
103,2020-08-30,Other,15000000
104,2020-09-08,CeFi,5400000
105,2020-09-09,CeFi,20000000
106,2020-09-13,Other,8100000
107,2020-09-17,Gaming / Metaverse,25773
108,2020-09-19,Yield Aggregator,333987
109,2020-09-24,Exchange (DEX),999538
110,2020-09-25,CeFi,280000000
111,2020-09-29,Gaming / Metaverse,15113001
112,2020-10-19,Gaming / Metaverse,129526
113,2020-10-20,NFT,6154
114,2020-10-22,Token,4012
115,2020-10-24,Token,1137
116,2020-10-25,Exchange (DEX),2845
117,2020-10-26,Token,31797
118,2020-10-26,Yield Aggregator,24000000
119,2020-10-31,Token,991
120,2020-11-03,Exchange (DEX),0
121,2020-11-04,Borrowing and Lending,1900000
122,2020-11-06,Borrowing and Lending,3300000
123,2020-11-06,Yield Aggregator,72446
124,2020-11-07,Token,170217
125,2020-11-11,Other,167772
126,2020-11-12,Token,2338
127,2020-11-14,Exchange (DEX),7000000
128,2020-11-15,Borrowing and Lending,138340
129,2020-11-21,Yield Aggregator,19700000
130,2020-11-23,Stablecoin,2170264
131,2020-11-26,Borrowing and Lending,89000000
132,2020-11-26,Stablecoin,17372
133,2020-11-28,Token,6593
134,2020-12-06,Token,31056
135,2020-12-07,Token,34560
136,2020-12-08,Token,37255
137,2020-12-09,Token,26074
138,2020-12-10,Token,31797
139,2020-12-13,Token,6426
140,2020-12-17,Stablecoin,3262
141,2020-12-18,Borrowing and Lending,7800000
142,2020-12-19,Exchange (DEX),71555
143,2020-12-21,CeFi,11700000
144,2020-12-23,Token,6152
145,2020-12-26,CeFi,750000
146,2021-01-05,Token,494001
147,2021-01-06,Exchange (DEX),207718
148,2021-01-07,Stablecoin,353807
149,2021-01-11,Token,2720
150,2021-01-12,Token,38798
151,2021-01-17,Token,511960
152,2021-01-19,Exchange (DEX),275735
153,2021-01-23,Yield Aggregator,30022
154,2021-01-24,Token,22796
155,2021-01-29,Exchange (DEX),3924
156,2021-01-30,Exchange (DEX),22461
157,2021-02-05,Yield Aggregator,11000000
158,2021-02-08,Token,77328
159,2021-02-08,Yield Aggregator,1867271
160,2021-02-13,Other,37500000
161,2021-02-20,CeFi,45000
162,2021-02-20,Token,26543
163,2021-03-01,"Other,Yield Aggregator",14000000
164,2021-03-04,Borrowing and Lending,37645
165,2021-03-04,Exchange (DEX),18558
166,2021-03-04,Yield Aggregator,30883780
167,2021-03-05,Other,27418034
168,2021-03-08,Token,0
169,2021-03-09,Exchange (DEX),3819950
170,2021-03-13,Exchange (DEX),277897
171,2021-03-15,Exchange (DEX),500000
172,2021-03-16,Exchange (DEX),28710
173,2021-03-16,Token,10531
174,2021-03-17,"Borrowing and Lending,Exchange (DEX)",0
175,2021-03-26,Token,2544
176,2021-03-28,Token,194000
177,2021-04-10,Token,63188
178,2021-04-12,Exchange (DEX),1800000
179,2021-04-19,Borrowing and Lending,59000000
180,2021-04-22,CeFi,2000000000
181,2021-04-28,Yield Aggregator,57200000
182,2021-05-02,Exchange (DEX),30500000
183,2021-05-05,Exchange (DEX),10000000
184,2021-05-07,Exchange (DEX),11000000
185,2021-05-08,Yield Aggregator,15723948
186,2021-05-12,Token,24000000
187,2021-05-18,Borrowing and Lending,77000000
188,2021-05-19,Yield Aggregator,45000000
189,2021-05-22,Exchange (DEX),3642100
190,2021-05-23,Stablecoin,32000000
191,2021-05-24,Exchange (DEX),759046
192,2021-05-27,Borrowing and Lending,611963
193,2021-05-29,Exchange (DEX),7200000
194,2021-06-03,Exchange (DEX),3725
195,2021-06-17,Token,686491
196,2021-06-18,Other,6500000
197,2021-06-19,Token,626595
198,2021-06-20,Exchange (DEX),511144
199,2021-06-22,CeFi,75000000
200,2021-06-22,Yield Aggregator,4500000
201,2021-06-23,CeFi,3600000000
202,2021-06-23,Other,27000000
203,2021-07-02,Exchange (DEX),5000000
204,2021-07-05,CeFi,1500000000
205,2021-07-09,CeFi,2000000
206,2021-07-14,Stablecoin,260000
207,2021-07-15,Exchange (DEX),4364612
208,2021-07-16,Yield Aggregator,2395931
209,2021-07-22,Exchange (DEX),8000000
210,2021-07-28,Yield Aggregator,250000
211,2021-08-03,Yield Aggregator,20500000
212,2021-08-10,Other,602189570
213,2021-08-12,Stablecoin,6884420
214,2021-08-15,Exchange (DEX),3202539
215,2021-08-18,Borrowing and Lending,200000
216,2021-08-19,Borrowing and Lending,16000
217,2021-08-19,CeFi,97000000
218,2021-08-25,Exchange (DEX),0
219,2021-08-27,Exchange (DEX),0
220,2021-08-29,CeFi,42709378
221,2021-08-29,Token,4500000
222,2021-08-30,Stablecoin,0
223,2021-08-31,Borrowing and Lending,36154954
224,2021-08-31,Exchange (DEX),0
225,2021-08-31,Yield Aggregator,0
226,2021-09-02,Token,0
227,2021-09-03,Exchange (DEX),0
228,2021-09-06,Exchange (DEX),0
229,2021-09-08,Exchange (DEX),0
230,2021-09-08,Token,0
231,2021-09-09,Exchange (DEX),0
232,2021-09-09,Token,0
233,2021-09-10,Borrowing and Lending,0
234,2021-09-10,Exchange (DEX),0
235,2021-09-10,Stablecoin,0
236,2021-09-10,Token,0
237,2021-09-13,Exchange (DEX),0
238,2021-09-13,Token,0
239,2021-09-14,Token,0
240,2021-09-16,"Borrowing and Lending,Exchange (DEX)",2993606
241,2021-09-17,Exchange (DEX),24412
242,2021-09-19,Bridge,12700000
243,2021-09-20,Exchange (DEX),0
244,2021-09-20,Token,0
245,2021-09-21,Borrowing and Lending,36000000
246,2021-09-21,Token,0
247,2021-09-29,Token,0
248,2021-09-30,Borrowing and Lending,71101556
249,2021-10-04,Token,548
250,2021-10-08,"Borrowing and Lending,Other",90000000
251,2021-10-14,Other,16000000
252,2021-10-17,Exchange (DEX),300000
253,2021-10-27,"Borrowing and Lending,Exchange (DEX)",130000000
254,2021-10-29,Exchange (DEX),62000000
255,2021-10-30,Other,139895140
256,2021-11-01,Gaming / Metaverse,5723268
257,2021-11-05,Borrowing and Lending,47600000
258,2021-11-14,Exchange (DEX),585882
259,2021-11-26,Other,30000000
260,2021-11-28,CeFi,0
261,2021-12-01,Exchange (DEX),31400000
262,2021-12-02,Yield Aggregator,120285547
263,2021-12-04,CeFi,196000000
264,2021-12-11,CeFi,77700000
265,2021-12-12,Gaming / Metaverse,140000000
266,2021-12-12,NFT,360000
267,2021-12-19,Yield Aggregator,40000000
268,2021-12-21,Yield Aggregator,1786520
269,2021-12-27,Token,2826509
270,2021-12-28,Token,1619283
271,2021-12-30,Exchange (DEX),316800
272,2022-01-01,Gaming / Metaverse,1400000
273,2022-01-08,CeFi,7940000
274,2022-01-09,NFT,1300000
275,2022-01-10,NFT,18500000
276,2022-01-17,CeFi,34358003
277,2022-01-17,Gaming / Metaverse,770000
278,2022-01-23,NFT,3000000
279,2022-01-27,Borrowing and Lending,80000000
280,2022-01-30,NFT,781637
281,2022-02-02,Bridge,326000000
282,2022-02-06,Borrowing and Lending,3300000
283,2022-02-08,Other,36000000
284,2022-02-09,"Gaming / Metaverse,NFT",15444277
285,2022-02-14,Token,50830
286,2022-03-07,Token,105421
287,2022-03-15,Borrowing and Lending,11700000
288,2022-03-15,Other,3024325
289,2022-03-23,Stablecoin,48000000
290,2022-03-29,Bridge,625000000
291,2022-04-02,Borrowing and Lending,14500000
292,2022-04-07,Yield Aggregator,15000000
293,2022-04-12,Exchange (DEX),22200000
294,2022-04-15,"Borrowing and Lending,NFT",1115266
295,2022-04-18,Stablecoin,181000000
296,2022-04-25,NFT,13000000
297,2022-04-28,Other,17900000
298,2022-04-30,Borrowing and Lending,79749026
299,2022-05-04,Exchange (DEX),2000000
300,2022-05-05,"Exchange (DEX),Yield Aggregator",1500000
301,2022-05-06,Other,62000000
302,2022-05-07,CeFi,1000000000
303,2022-05-08,Exchange (DEX),1200000
304,2022-05-08,Stablecoin,40000000000
305,2022-05-08,Token,90000
306,2022-05-10,"Exchange (DEX),NFT",165000
307,2022-05-10,NFT,19219
308,2022-05-13,Borrowing and Lending,1350000
309,2022-05-14,Borrowing and Lending,8300000
310,2022-05-14,Exchange (DEX),125600
311,2022-05-15,"Borrowing and Lending,Stablecoin",35000000
312,2022-05-19,"Stablecoin,Yield Aggregator",6000000
313,2022-05-26,"Gaming / Metaverse,NFT",3500000
314,2022-05-29,Token,85604
315,2022-05-31,"Borrowing and Lending,Other",2000000
316,2022-06-02,NFT,6300000
317,2022-06-02,Token,53460
318,2022-06-04,NFT,262732
319,2022-06-05,Exchange (DEX),113000000
320,2022-06-07,Bridge,66000000
321,2022-06-08,Exchange (DEX),5000000
322,2022-06-09,Other,27600000
323,2022-06-10,Exchange (DEX),1100000
324,2022-06-11,"Gaming / Metaverse,NFT",183151
325,2022-06-11,Other,400000
326,2022-06-13,"Borrowing and Lending,CeFi",1190000000
327,2022-06-16,Borrowing and Lending,1260000
328,2022-06-23,Bridge,100000000
329,2022-06-28,"Exchange (DEX),NFT",50625
330,2022-06-29,"NFT,Other",130000
331,2022-06-29,Token,122354
332,2022-06-30,Exchange (DEX),134120
333,2022-07-01,Other,62500
334,2022-07-02,Exchange (DEX),8782446
335,2022-07-02,Other,54559
336,2022-07-04,CeFi,0
337,2022-07-05,NFT,6828
338,2022-07-06,Other,7602
339,2022-07-06,Token,143508
340,2022-07-07,Other,28247
341,2022-07-08,Other,2248328
342,2022-07-10,"Borrowing and Lending,NFT",1430000
343,2022-07-11,Exchange (DEX),8000000
344,2022-07-11,Gaming / Metaverse,94336
345,2022-07-13,"Gaming / Metaverse,Token",732647
346,2022-07-13,Token,70524
347,2022-07-15,"Gaming / Metaverse,Token",204259
348,2022-07-15,NFT,150000
349,2022-07-15,Token,122000
350,2022-07-16,Borrowing and Lending,7200
351,2022-07-16,Token,17304
352,2022-07-17,NFT,375000
353,2022-07-19,"Gaming / Metaverse,Yield Aggregator",20800000
354,2022-07-19,Token,33902
355,2022-07-20,Token,130943
356,2022-07-21,NFT,45819
357,2022-07-21,"Other,Token",6000000
358,2022-07-23,Other,1086000
359,2022-07-25,Exchange (DEX),4500000
360,2022-07-25,"Gaming / Metaverse,NFT,Token",255682
361,2022-07-27,Other,21000000
362,2022-07-27,Token,91023
363,2022-07-28,Stablecoin,3574635
364,2022-08-01,Bridge,190000000
365,2022-08-01,Exchange (DEX),4767945
366,2022-08-02,Yield Aggregator,1700000
367,2022-08-03,Other,5200000
368,2022-08-06,NFT,43269
369,2022-08-07,Token,3525500
370,2022-08-08,Token,88736
371,2022-08-09,Exchange (DEX),612000
372,2022-08-09,Token,366975
373,2022-08-13,Gaming / Metaverse,214122
374,2022-08-13,Token,261000
375,2022-08-14,Stablecoin,1600000
376,2022-08-14,Token,287266
377,2022-08-16,Token,410000
378,2022-08-16,Yield Aggregator,165000
379,2022-08-18,Bridge,236334
380,2022-08-20,Token,509000
381,2022-08-21,Token,25278
382,2022-08-22,"Gaming / Metaverse,NFT",65000
383,2022-08-23,NFT,883201
384,2022-08-23,Token,131892
385,2022-08-25,NFT,44052
386,2022-08-25,Token,14100
387,2022-08-26,Token,27193
388,2022-08-28,"Exchange (DEX),Token",110105
389,2022-08-28,Token,93746
390,2022-08-29,Token,111535
391,2022-08-30,"NFT,Token",1177347
392,2022-08-31,"NFT,Other",177873
393,2022-08-31,Token,78623
394,2022-09-01,Exchange (DEX),265050
395,2022-09-01,Token,59172
396,2022-09-02,Token,365041
397,2022-09-04,Other,581250
398,2022-09-06,Borrowing and Lending,370000
399,2022-09-06,Token,51411
400,2022-09-07,Token,0
401,2022-09-08,CeFi,100000000
402,2022-09-08,Other,1250372
403,2022-09-08,Token,45262
404,2022-09-08,"Token,Yield Aggregator",472459
405,2022-09-10,Token,103859
406,2022-09-15,Gaming / Metaverse,140869
407,2022-09-15,Token,436918
408,2022-09-16,Bridge,271800
409,2022-09-17,Token,45978
410,2022-09-18,Other,977550
411,2022-09-19,Token,398625
412,2022-09-20,"CeFi,Yield Aggregator",160000000
413,2022-09-20,Yield Aggregator,2584890
414,2022-09-21,Token,262175
415,2022-09-22,Token,66635
416,2022-09-23,Token,784106
417,2022-09-24,Token,58448
418,2022-09-26,Token,382660
419,2022-09-27,Token,159000
420,2022-10-01,Exchange (DEX),28900000
421,2022-10-03,Token,41112
422,2022-10-04,"Borrowing and Lending,Exchange (DEX)",1078194
423,2022-10-04,"Other,Token",91000
424,2022-10-04,Token,160441
425,2022-10-05,Token,115549
426,2022-10-06,Bridge,89530887
427,2022-10-07,CeFi,766000000
428,2022-10-08,Token,0
429,2022-10-09,Token,1143446
430,2022-10-10,Token,189876
431,2022-10-11,Bridge,1165500
432,2022-10-11,Exchange (DEX),116000000
433,2022-10-11,Other,194500
434,2022-10-11,Token,684385
435,2022-10-11,Yield Aggregator,2376872
436,2022-10-12,Token,575344
437,2022-10-13,CeFi,187156
438,2022-10-15,Token,103540
439,2022-10-16,Token,558530
440,2022-10-17,CeFi,1192464
441,2022-10-17,NFT,36743
442,2022-10-17,Token,24483
443,2022-10-18,Borrowing and Lending,9100000
444,2022-10-18,Token,148019
445,2022-10-19,Other,0
446,2022-10-20,Token,49184
447,2022-10-22,Token,348312
448,2022-10-23,Exchange (DEX),380370
449,2022-10-23,Token,60852
450,2022-10-23,"Token,Yield Aggregator",60000000
451,2022-10-24,Gaming / Metaverse,644404
452,2022-10-24,Token,210893
453,2022-10-25,"Exchange (DEX),NFT,Token",31096
454,2022-10-25,Token,50646
455,2022-10-27,Exchange (DEX),1447175
456,2022-10-27,Other,13073700
457,2022-10-27,Token,58450
458,2022-10-28,Token,151087
459,2022-10-29,Exchange (DEX),158343
460,2022-10-29,Token,275117
461,2022-11-01,CeFi,28317206
462,2022-11-01,"Exchange (DEX),Token",3000000
463,2022-11-02,Borrowing and Lending,1260000
464,2022-11-02,"Bridge,Exchange (DEX)",79670
465,2022-11-03,Gaming / Metaverse,0
466,2022-11-05,Exchange (DEX),18577305
467,2022-11-06,"NFT,Token",997086
468,2022-11-06,"Other,Token",122960
469,2022-11-07,Token,375046
470,2022-11-08,"Borrowing and Lending,Exchange (DEX),Stablecoin",110911
471,2022-11-09,"Exchange (DEX),Yield Aggregator",89522
472,2022-11-10,Exchange (DEX),7645284
473,2022-11-10,Other,41053572
474,2022-11-10,Token,454953
475,2022-11-11,"CeFi,Other",1000000000
476,2022-11-13,"Exchange (DEX),Yield Aggregator",4173646
477,2022-11-13,Token,17010503
478,2022-11-15,Gaming / Metaverse,91320
479,2022-11-18,Other,7000
480,2022-11-20,Token,120083
481,2022-11-21,"Borrowing and Lending,CeFi",2800000000
482,2022-11-21,Yield Aggregator,6073083
483,2022-11-28,CeFi,1000000000
484,2022-12-01,Token,426892
485,2022-12-02,Exchange (DEX),5000000
486,2022-12-03,CeFi,3000000
487,2022-12-04,Other,301754
488,2022-12-10,Borrowing and Lending,5800000
489,2022-12-12,Token,18476
490,2022-12-13,Exchange (DEX),850000
491,2022-12-14,CeFi,0
492,2022-12-14,Other,76000
493,2022-12-16,Exchange (DEX),4400000
494,2022-12-20,CeFi,20000000
495,2022-12-23,Stablecoin,12000000
496,2022-12-25,Exchange (DEX),1420000
497,2022-12-26,Other,8000000
498,2022-12-30,Exchange (DEX),468000
499,2022-12-31,Exchange (DEX),2100000
500,2022-12-31,Other,3600000
501,2023-01-03,Other,4367000
502,2023-01-04,Token,2588000
503,2023-01-12,Borrowing and Lending,6000000
504,2023-01-15,Borrowing and Lending,650000
505,2023-01-17,NFT,70000
506,2023-01-18,Token,150000
507,2023-01-19,Other,580000
