,date,issueType,fundsLost
0,2011-06-13,Other,8750000
1,2011-06-21,Other,68300
2,2011-07-01,Rugpull,18100
3,2011-07-26,Access Control,236000
4,2011-08-08,Rugpull,619000
5,2011-09-01,Rugpull,32800
6,2011-10-05,Other,53100
7,2011-10-28,Other,8020
8,2012-03-01,Rugpull,6450
9,2012-03-12,Other,228000
10,2012-04-11,Access Control,15300
11,2012-05-11,Other,87000
12,2012-07-02,Rugpull,4630000
13,2012-07-04,Access Control,12000
14,2012-07-13,Access Control,303000
15,2012-09-05,Other,251000
16,2012-09-19,Other,3360000000
17,2012-09-28,Access Control,113000
18,2012-10-13,Other,14000
19,2012-11-16,Other,39200
20,2013-02-13,Access Control,50800
21,2013-03-10,Other,58000
22,2013-03-28,Other,370000
23,2013-04-01,Access Control,169000
24,2013-04-19,Other,135000
25,2013-04-26,Access Control,202000
26,2013-05-10,Access Control,342000
27,2013-06-01,Access Control,167000
28,2013-07-01,Other,545000
29,2013-07-15,Access Control,123000
30,2013-10-01,Rugpull,277000
31,2013-10-23,Access Control,809000
32,2013-10-26,Rugpull,4000000
33,2013-11-11,Other,161000
34,2013-11-17,Other,600000
35,2013-11-29,Access Control,6420000
36,2014-02-24,Other,473000000
37,2014-03-02,Other,614298
38,2014-03-04,Other,65600
39,2014-03-15,Other,659000
40,2014-03-16,Other,108000
41,2014-05-13,Other,51100
42,2014-07-13,Access Control,2000000
43,2014-07-29,Access Control,9890000
44,2014-08-15,Rugpull,1910000
45,2014-09-12,Access Control,2370000
46,2014-10-19,Access Control,1500000
47,2015-01-04,Access Control,5263614
48,2015-01-23,Access Control,1100000
49,2015-01-27,Access Control,4440
50,2015-01-28,Other,253000
51,2015-02-09,Rugpull,387000000
52,2015-02-10,Rugpull,460000
53,2015-02-14,Access Control,1750000
54,2015-02-15,Access Control,1790000
55,2015-02-18,Access Control,721000
56,2015-05-22,Access Control,332000
57,2015-10-11,Access Control,2510000
58,2016-03-07,Rugpull,4000000
59,2016-04-01,Access Control,269000
60,2016-05-10,Access Control,2140000
61,2016-06-17,Other,50000000
62,2016-08-02,Access Control,65000000
63,2016-08-02,Other,295000000
64,2016-10-15,Other,1500000
65,2017-04-22,Other,4980000
66,2017-06-03,Access Control,1040000
67,2017-07-01,Other,12200000
68,2017-07-19,Other,34000000
69,2017-07-26,Rugpull,181000000
70,2017-08-21,Other,500000
71,2017-09-10,Rugpull,147000000
72,2017-09-21,Access Control,1930000
73,2017-10-02,Other,3000000
74,2017-11-08,Other,155000000
75,2017-11-19,Other,30950010
76,2017-12-06,Other,64000000
77,2017-12-19,Other,10000000
78,2017-12-20,Access Control,251000
79,2018-01-13,Access Control,400000
80,2018-01-15,Rugpull,2000000000
81,2018-01-26,Other,534000000
82,2018-02-10,Other,146000000
83,2018-02-19,Access Control,50000000
84,2018-04-12,Access Control,3200000
85,2018-04-21,Access Control,230000000
86,2018-04-24,Access Control,150000
87,2018-05-21,Access Control,1580000
88,2018-06-10,Access Control,40000000
89,2018-06-19,Access Control,30000000
90,2018-07-09,Other,23500000
91,2018-09-14,Access Control,59000000
92,2018-10-20,Access Control,9000000
93,2018-10-28,Other,5880000
94,2018-12-27,Access Control,949000
95,2019-01-26,Other,27000
96,2019-02-04,Access Control,147000000
97,2019-02-20,Access Control,26000000
98,2019-03-24,Rugpull,6162000
99,2019-03-25,Access Control,123000
100,2019-03-26,Access Control,45000000
101,2019-03-29,Access Control,19200000
102,2019-05-02,Other,2170000
103,2019-05-07,Access Control,41700000
104,2019-05-22,Access Control,100000
105,2019-06-02,Access Control,10500000
106,2019-06-03,Rugpull,0
107,2019-06-06,Access Control,10000000
108,2019-06-11,Rugpull,160000000
109,2019-06-17,Rugpull,570000
110,2019-06-26,Access Control,5000000
111,2019-07-04,Other,1000000
112,2019-07-04,Rugpull,1000000
113,2019-07-08,Rugpull,27100000
114,2019-07-12,Access Control,32000000
115,2019-08-17,Access Control,1800000
116,2019-11-08,Other,500000
117,2019-11-27,Access Control,51200000
118,2019-12-16,Rugpull,2900000000
119,2020-01-19,Access Control,17700000
120,2020-02-05,Other,303000
121,2020-02-11,Other,42000
122,2020-02-12,Other,2910000
123,2020-02-15,Flash Loan Attack,355880
124,2020-02-18,Flash Loan Attack,665840
125,2020-03-16,Other,170000
126,2020-03-25,Access Control,224000
127,2020-04-08,Other,250000
128,2020-04-18,Other,1400000
129,2020-04-19,Other,25236849
130,2020-04-24,Other,47765
131,2020-05-14,Rugpull,1000000000
132,2020-06-18,Other,135229
133,2020-06-28,Flash Loan Attack,523613
134,2020-07-11,Access Control,3090000
135,2020-07-15,Access Control,120000
136,2020-07-31,Rugpull,1400000
137,2020-08-04,Other,371260
138,2020-08-13,Other,750000
139,2020-08-30,Access Control,15000000
140,2020-09-03,Other,281382
141,2020-09-05,Other,245000
142,2020-09-08,Access Control,5400000
143,2020-09-09,Rugpull,22500000
144,2020-09-13,Other,8100000
145,2020-09-17,Rugpull,25773
146,2020-09-19,Rugpull,333987
147,2020-09-24,Rugpull,999538
148,2020-09-25,Access Control,280000000
149,2020-09-29,Flash Loan Attack,15113001
150,2020-10-05,Rugpull,2652
151,2020-10-08,Rugpull,29887
152,2020-10-09,Rugpull,83884
153,2020-10-11,Rugpull,0
154,2020-10-19,Rugpull,129526
155,2020-10-20,Rugpull,6154
156,2020-10-21,Abandoned,0
157,2020-10-22,Honeypot,4012
158,2020-10-23,Rugpull,9669
159,2020-10-24,Access Control,1800000
160,2020-10-24,Honeypot,1137
161,2020-10-25,Honeypot,2845
162,2020-10-25,Rugpull,73167
163,2020-10-26,Flash Loan Attack,24000000
164,2020-10-26,Honeypot,31797
165,2020-10-26,Rugpull,203878
166,2020-10-27,Rugpull,111467
167,2020-10-28,Rugpull,10000000
168,2020-10-29,Rugpull,42099
169,2020-10-30,Abandoned,22924
170,2020-10-31,Honeypot,991
171,2020-10-31,Rugpull,541755
172,2020-11-02,Other,1127696
173,2020-11-02,Rugpull,4049
174,2020-11-03,Other,0
175,2020-11-04,Other,1900000
176,2020-11-04,Rugpull,4357
177,2020-11-05,Rugpull,3102
178,2020-11-06,Flash Loan Attack,3300000
179,2020-11-06,Rugpull,151429
180,2020-11-07,Honeypot,170217
181,2020-11-08,Rugpull,760
182,2020-11-10,Rugpull,756
183,2020-11-11,Rugpull,175994
184,2020-11-12,Abandoned,0
185,2020-11-12,Flash Loan Attack,2000000
186,2020-11-12,Honeypot,2338
187,2020-11-12,Rugpull,477544
188,2020-11-13,Other,0
189,2020-11-13,Rugpull,238435
190,2020-11-14,Flash Loan Attack,7000000
191,2020-11-14,Rugpull,7823
192,2020-11-15,Rugpull,138340
193,2020-11-17,Flash Loan Attack,8000000
194,2020-11-17,Rugpull,28437
195,2020-11-19,Rugpull,32065
196,2020-11-20,Rugpull,20685
197,2020-11-21,Other,19700000
198,2020-11-21,Rugpull,4804
199,2020-11-23,Rugpull,2195564
200,2020-11-24,Rugpull,164370
201,2020-11-25,Rugpull,898
202,2020-11-26,Oracle Issue,89000000
203,2020-11-26,Rugpull,17372
204,2020-11-27,Rugpull,220447
205,2020-11-28,Honeypot,6593
206,2020-11-28,Rugpull,27116
207,2020-11-29,Rugpull,34703
208,2020-11-30,Rugpull,424712
209,2020-12-01,Rugpull,12368424
210,2020-12-02,Rugpull,36698
211,2020-12-03,Rugpull,13140
212,2020-12-04,Rugpull,21049
213,2020-12-05,Abandoned,0
214,2020-12-05,Rugpull,555
215,2020-12-06,Honeypot,31056
216,2020-12-07,Honeypot,34560
217,2020-12-07,Rugpull,33123
218,2020-12-08,Honeypot,37255
219,2020-12-08,Rugpull,8992
220,2020-12-09,Honeypot,26074
221,2020-12-10,Honeypot,31797
222,2020-12-11,Rugpull,508721
223,2020-12-12,Abandoned,0
224,2020-12-12,Rugpull,6105
225,2020-12-13,Honeypot,6426
226,2020-12-13,Rugpull,5150
227,2020-12-14,Rugpull,270981
228,2020-12-15,Rugpull,6283
229,2020-12-17,Rugpull,221338
230,2020-12-18,Flash Loan Attack,7800000
231,2020-12-18,Rugpull,50631
232,2020-12-19,Rugpull,74067
233,2020-12-21,Access Control,11700000
234,2020-12-21,Rugpull,42754
235,2020-12-22,Rugpull,4272
236,2020-12-23,Honeypot,6152
237,2020-12-23,Rugpull,18203
238,2020-12-25,Rugpull,266789
239,2020-12-26,Rugpull,821506
240,2020-12-28,Other,9400000
241,2020-12-30,Rugpull,111637
242,2020-12-31,Rugpull,63065
243,2021-01-01,Rugpull,40422
244,2021-01-02,Rugpull,0
245,2021-01-03,Rugpull,8780
246,2021-01-05,Honeypot,494001
247,2021-01-05,Rugpull,460294
248,2021-01-06,Honeypot,207718
249,2021-01-06,Rugpull,15091
250,2021-01-07,Rugpull,353807
251,2021-01-09,Rugpull,50778
252,2021-01-10,Abandoned,0
253,2021-01-11,Honeypot,2720
254,2021-01-12,Honeypot,38798
255,2021-01-13,Rugpull,77687
256,2021-01-14,Abandoned,0
257,2021-01-15,Rugpull,216694
258,2021-01-16,Abandoned,0
259,2021-01-16,Rugpull,11678
260,2021-01-17,Honeypot,511960
261,2021-01-18,Rugpull,34122
262,2021-01-19,Other,275735
263,2021-01-21,Rugpull,407465
264,2021-01-22,Rugpull,149702
265,2021-01-23,Rugpull,30022
266,2021-01-24,Rugpull,22796
267,2021-01-26,Rugpull,318392
268,2021-01-28,Rugpull,2244984
269,2021-01-29,Rugpull,101071
270,2021-01-30,Rugpull,159803
271,2021-02-01,Rugpull,278275
272,2021-02-02,Rugpull,7193
273,2021-02-05,Flash Loan Attack,11000000
274,2021-02-08,Flash Loan Attack,1867271
275,2021-02-08,Honeypot,77328
276,2021-02-08,Rugpull,1638315
277,2021-02-10,Rugpull,500000
278,2021-02-11,Abandoned,1099672
279,2021-02-13,Flash Loan Attack,37500000
280,2021-02-14,Rugpull,76480
281,2021-02-15,Rugpull,2935141
282,2021-02-20,Access Control,45000
283,2021-02-20,Honeypot,26543
284,2021-02-20,Rugpull,805001
285,2021-02-25,Rugpull,399855
286,2021-02-28,Other,850000
287,2021-02-28,Rugpull,3290403
288,2021-03-01,Other,14000000
289,2021-03-01,Rugpull,310654
290,2021-03-04,Rugpull,30939983
291,2021-03-05,Other,27418034
292,2021-03-07,Abandoned,0
293,2021-03-07,Rugpull,134518
294,2021-03-08,Honeypot,0
295,2021-03-09,Other,3800000
296,2021-03-09,Rugpull,19950
297,2021-03-10,Other,0
298,2021-03-10,Rugpull,515499
299,2021-03-11,Rugpull,59164
300,2021-03-12,Other,0
301,2021-03-12,Rugpull,16644
302,2021-03-13,Rugpull,277897
303,2021-03-14,Access Control,5389203
304,2021-03-14,Other,0
305,2021-03-15,Access Control,500000
306,2021-03-15,Rugpull,1280809
307,2021-03-16,Honeypot,10531
308,2021-03-16,Rugpull,2565752
309,2021-03-17,Other,0
310,2021-03-17,Rugpull,224579
311,2021-03-18,Rugpull,25287
312,2021-03-19,Rugpull,24424
313,2021-03-21,Rugpull,9507
314,2021-03-26,Honeypot,2544
315,2021-03-28,Honeypot,194000
316,2021-04-03,Rugpull,10239
317,2021-04-04,Other,367000
318,2021-04-05,Other,3000000
319,2021-04-08,Other,1300000
320,2021-04-10,Honeypot,63188
321,2021-04-11,Rugpull,11874
322,2021-04-12,Other,1800000
323,2021-04-19,Access Control,59000000
324,2021-04-22,Rugpull,2000000000
325,2021-04-23,Rugpull,106315
326,2021-04-27,Rugpull,82091
327,2021-04-28,Other,57200000
328,2021-04-30,Rugpull,24143
329,2021-05-02,Flash Loan Attack,30500000
330,2021-05-05,Other,10000000
331,2021-05-07,Other,11000000
332,2021-05-08,Flash Loan Attack,15723948
333,2021-05-08,Other,700000
334,2021-05-12,Flash Loan Attack,24000000
335,2021-05-16,Flash Loan Attack,11000000
336,2021-05-17,Access Control,7000000
337,2021-05-18,Oracle Issue,77000000
338,2021-05-19,Flash Loan Attack,45000000
339,2021-05-19,Rugpull,2300000
340,2021-05-22,Flash Loan Attack,3642100
341,2021-05-23,Rugpull,32000000
342,2021-05-24,Flash Loan Attack,759046
343,2021-05-26,Other,680000
344,2021-05-27,Access Control,611963
345,2021-05-27,Other,550000
346,2021-05-28,Flash Loan Attack,1500000
347,2021-05-29,Flash Loan Attack,13500000
348,2021-06-03,Other,112187
349,2021-06-03,Rugpull,3725
350,2021-06-05,Rugpull,1500000
351,2021-06-10,Flash Loan Attack,1735747
352,2021-06-14,Other,2500000
353,2021-06-16,Other,0
354,2021-06-17,Honeypot,686491
355,2021-06-18,Other,6500000
356,2021-06-19,Access Control,504845
357,2021-06-19,Honeypot,626595
358,2021-06-20,Other,606536
359,2021-06-21,Flash Loan Attack,660657
360,2021-06-22,Access Control,75000000
361,2021-06-22,Other,4500000
362,2021-06-23,Rugpull,3627000000
363,2021-06-24,Access Control,500000
364,2021-06-25,Other,270000
365,2021-06-28,Other,248000
366,2021-06-29,Other,333825
367,2021-07-02,Other,5800000
368,2021-07-03,Other,8186549
369,2021-07-04,Other,414013
370,2021-07-05,Rugpull,1500000000
371,2021-07-09,Access Control,2000000
372,2021-07-10,Access Control,7907718
373,2021-07-11,Other,5986876
374,2021-07-13,Other,269315
375,2021-07-14,Access Control,6800987
376,2021-07-14,Flash Loan Attack,1260000
377,2021-07-15,Other,4364612
378,2021-07-16,Flash Loan Attack,2395931
379,2021-07-19,Flash Loan Attack,516391
380,2021-07-21,Other,279608
381,2021-07-22,Other,8000000
382,2021-07-28,Other,250000
383,2021-07-30,Other,1500000
384,2021-07-31,Access Control,2072967
385,2021-08-03,Other,20500000
386,2021-08-03,Rugpull,0
387,2021-08-04,Flash Loan Attack,800000
388,2021-08-04,Other,172411
389,2021-08-05,Rugpull,0
390,2021-08-08,Other,670000
391,2021-08-08,Rugpull,0
392,2021-08-09,Rugpull,0
393,2021-08-10,Other,611089570
394,2021-08-10,Rugpull,0
395,2021-08-11,Other,4000000
396,2021-08-11,Rugpull,0
397,2021-08-12,Other,6884420
398,2021-08-12,Rugpull,0
399,2021-08-14,Access Control,2600000
